,Unnamed: 0,reaction,solved,input_reaction,rules,solved_by,confidence,R-ids,datasets,correct_reaction,wrong_reactions
1420,1420,CC1(C)OB(c2ccc3c(c2)NC(=O)CO3)OC1(C)C.Cc1nn(CC(C)(F)CO)c(-c2ccc(F)cc2)c1Br>>Cc1nn(CC(C)(F)CO)c(-c2ccc(F)cc2)c1-c1ccc2c(c1)NC(=O)CO2.CC1(C)OB(Br)OC1(C)C,True,CC1(C)OB(c2ccc3c(c2)NC(=O)CO3)OC1(C)C.Cc1nn(CC(C)(F)CO)c(-c2ccc(F)cc2)c1Br>>Cc1nn(CC(C)(F)CO)c(-c2ccc(F)cc2)c1-c1ccc2c(c1)NC(=O)CO2,['default single bond'],mcs-based,0.9980000257492064,['USPTO_diff_1217'],['USPTO_diff'],CC1(C)OB(c2ccc3c(c2)NC(=O)CO3)OC1(C)C.Cc1nn(CC(C)(F)CO)c(-c2ccc(F)cc2)c1Br>>Cc1nn(CC(C)(F)CO)c(-c2ccc(F)cc2)c1-c1ccc2c(c1)NC(=O)CO2.CC1(C)OB(Br)OC1(C)C,[]
1421,1421,COc1cc(N2CCC(C(=O)OC(C)(C)C)CC2)ccc1Cl.O>>COc1cc(N2CCC(C(=O)O)CC2)ccc1Cl.CC(C)(C)O,True,COc1cc(N2CCC(C(=O)OC(C)(C)C)CC2)ccc1Cl>>COc1cc(N2CCC(C(=O)O)CC2)ccc1Cl,"['C-O Ester break', 'default single bond']",mcs-based,0.9950000047683716,['USPTO_diff_1218'],['USPTO_diff'],COc1cc(N2CCC(C(=O)OC(C)(C)C)CC2)ccc1Cl.O>>COc1cc(N2CCC(C(=O)O)CC2)ccc1Cl.CC(C)(C)O,[]
1422,1422,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCOC(C)(C)C(=O)OC(C)(C)C.O>>CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCOC(C)(C)C(=O)O.CC(C)(C)O,True,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCOC(C)(C)C(=O)OC(C)(C)C>>CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCOC(C)(C)C(=O)O,"['C-O Ester break', 'default single bond']",mcs-based,1.0,['USPTO_diff_1219'],['USPTO_diff'],CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCOC(C)(C)C(=O)OC(C)(C)C.O>>CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCOC(C)(C)C(=O)O.CC(C)(C)O,[]
1423,1423,Cn1c(=O)c(C(=O)NCC(=O)OC(C)(C)C)c(O)c2ccc(-c3cccc(C#N)c3)cc21.O>>Cn1c(=O)c(C(=O)NCC(=O)O)c(O)c2ccc(-c3cccc(C#N)c3)cc21.CC(C)(C)O,True,Cn1c(=O)c(C(=O)NCC(=O)OC(C)(C)C)c(O)c2ccc(-c3cccc(C#N)c3)cc21>>Cn1c(=O)c(C(=O)NCC(=O)O)c(O)c2ccc(-c3cccc(C#N)c3)cc21,"['C-O Ester break', 'default single bond']",mcs-based,0.9990000128746032,['USPTO_diff_1220'],['USPTO_diff'],Cn1c(=O)c(C(=O)NCC(=O)OC(C)(C)C)c(O)c2ccc(-c3cccc(C#N)c3)cc21.O>>Cn1c(=O)c(C(=O)NCC(=O)O)c(O)c2ccc(-c3cccc(C#N)c3)cc21.CC(C)(C)O,[]
1424,1424,COc1ccc(Cn2nc(C)c3c(Oc4ccc(-c5cnc(Nc6ccccc6)n(C)c5=O)cc4F)ccnc32)cc1.O>>Cc1n[nH]c2nccc(Oc3ccc(-c4cnc(Nc5ccccc5)n(C)c4=O)cc3F)c12.COc1ccc(CO)cc1,True,COc1ccc(Cn2nc(C)c3c(Oc4ccc(-c5cnc(Nc6ccccc6)n(C)c5=O)cc4F)ccnc32)cc1>>Cc1n[nH]c2nccc(Oc3ccc(-c4cnc(Nc5ccccc5)n(C)c4=O)cc3F)c12,"['append O when next to O or N', 'default single bond']",mcs-based,1.0,['USPTO_diff_1221'],['USPTO_diff'],COc1ccc(Cn2nc(C)c3c(Oc4ccc(-c5cnc(Nc6ccccc6)n(C)c5=O)cc4F)ccnc32)cc1.O>>Cc1n[nH]c2nccc(Oc3ccc(-c4cnc(Nc5ccccc5)n(C)c4=O)cc3F)c12.COc1ccc(CO)cc1,[]
1425,1425,COC(=O)c1ccc(OCCOc2c(C)cc(C(OCc3ccc(OC)cc3)(C(F)(F)F)C(F)(F)F)cc2C)cc1.[H+].[I-]>>COC(=O)c1ccc(OCCOc2c(C)cc(C(O)(C(F)(F)F)C(F)(F)F)cc2C)cc1.COc1ccc(CI)cc1,True,COC(=O)c1ccc(OCCOc2c(C)cc(C(OCc3ccc(OC)cc3)(C(F)(F)F)C(F)(F)F)cc2C)cc1>>COC(=O)c1ccc(OCCOc2c(C)cc(C(O)(C(F)(F)F)C(F)(F)F)cc2C)cc1,"['C-O Ether break', 'default single bond']",mcs-based,1.0,['USPTO_diff_1222'],['USPTO_diff'],COC(=O)c1ccc(OCCOc2c(C)cc(C(OCc3ccc(OC)cc3)(C(F)(F)F)C(F)(F)F)cc2C)cc1.[H+].[I-]>>COC(=O)c1ccc(OCCOc2c(C)cc(C(O)(C(F)(F)F)C(F)(F)F)cc2C)cc1.COc1ccc(CI)cc1,[]
1426,1426,COc1ccc(COc2cncc3c2-c2nn(C)c4ccc(NCCN(C)C)c(c24)C3=O)cc1.[H+].[I-]>>CN(C)CCNc1ccc2c3c(nn2C)-c2c(O)cncc2C(=O)c13.COc1ccc(CI)cc1,True,COc1ccc(COc2cncc3c2-c2nn(C)c4ccc(NCCN(C)C)c(c24)C3=O)cc1>>CN(C)CCNc1ccc2c3c(nn2C)-c2c(O)cncc2C(=O)c13,"['C-O Ether break', 'default single bond']",mcs-based,0.9990000128746032,['USPTO_diff_1223'],['USPTO_diff'],COc1ccc(COc2cncc3c2-c2nn(C)c4ccc(NCCN(C)C)c(c24)C3=O)cc1.[H+].[I-]>>CN(C)CCNc1ccc2c3c(nn2C)-c2c(O)cncc2C(=O)c13.COc1ccc(CI)cc1,[]
1427,1427,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)OC)cc1.O>>CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1.CO,True,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)OC)cc1>>CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,"['C-O Ester break', 'default single bond']",mcs-based,0.9950000047683716,['USPTO_diff_1224'],['USPTO_diff'],CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)OC)cc1.O>>CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1.CO,[]
1428,1428,COC(=O)C(C)(C)Cn1c(=O)n(Cc2csc3cccc(C)c23)c2ccccc21.O>>Cc1cccc2scc(Cn3c(=O)n(CC(C)(C)C(=O)O)c4ccccc43)c12.CO,True,COC(=O)C(C)(C)Cn1c(=O)n(Cc2csc3cccc(C)c23)c2ccccc21>>Cc1cccc2scc(Cn3c(=O)n(CC(C)(C)C(=O)O)c4ccccc43)c12,"['C-O Ester break', 'default single bond']",mcs-based,0.9950000047683716,['USPTO_diff_1225'],['USPTO_diff'],COC(=O)C(C)(C)Cn1c(=O)n(Cc2csc3cccc(C)c23)c2ccccc21.O>>Cc1cccc2scc(Cn3c(=O)n(CC(C)(C)C(=O)O)c4ccccc43)c12.CO,[]
1429,1429,COC(=O)C1CCCN1CCCNC(=O)c1c[nH]c(-c2cc(Oc3ccc(NC(=O)Nc4cc(C)ccc4F)c(F)c3)ccn2)c1.O>>Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc(-c4cc(C(=O)NCCCN5CCCC5C(=O)O)c[nH]4)c3)cc2F)c1.CO,True,COC(=O)C1CCCN1CCCNC(=O)c1c[nH]c(-c2cc(Oc3ccc(NC(=O)Nc4cc(C)ccc4F)c(F)c3)ccn2)c1>>Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc(-c4cc(C(=O)NCCCN5CCCC5C(=O)O)c[nH]4)c3)cc2F)c1,"['C-O Ester break', 'default single bond']",mcs-based,0.9990000128746032,['USPTO_diff_1226'],['USPTO_diff'],COC(=O)C1CCCN1CCCNC(=O)c1c[nH]c(-c2cc(Oc3ccc(NC(=O)Nc4cc(C)ccc4F)c(F)c3)ccn2)c1.O>>Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc(-c4cc(C(=O)NCCCN5CCCC5C(=O)O)c[nH]4)c3)cc2F)c1.CO,[]
1430,1430,c1ccc(COc2ccc3[nH]nc(-c4cc5cc(OCCN6CCCCC6)ccc5[nH]4)c3c2)cc1.[H+].[I-]>>Oc1ccc2[nH]nc(-c3cc4cc(OCCN5CCCCC5)ccc4[nH]3)c2c1.ICc1ccccc1,True,c1ccc(COc2ccc3[nH]nc(-c4cc5cc(OCCN6CCCCC6)ccc5[nH]4)c3c2)cc1>>Oc1ccc2[nH]nc(-c3cc4cc(OCCN5CCCCC5)ccc4[nH]3)c2c1,"['C-O Ether break', 'default single bond']",mcs-based,1.0,['USPTO_diff_1227'],['USPTO_diff'],c1ccc(COc2ccc3[nH]nc(-c4cc5cc(OCCN6CCCCC6)ccc5[nH]4)c3c2)cc1.[H+].[I-]>>Oc1ccc2[nH]nc(-c3cc4cc(OCCN5CCCCC5)ccc4[nH]3)c2c1.ICc1ccccc1,[]
1431,1431,Clc1c2c(nc3ccccc13)CCN(Cc1ccccc1)C2.O>>Clc1c2c(nc3ccccc13)CCNC2.OCc1ccccc1,True,Clc1c2c(nc3ccccc13)CCN(Cc1ccccc1)C2>>Clc1c2c(nc3ccccc13)CCNC2,"['append O when next to O or N', 'default single bond']",mcs-based,1.0,['USPTO_diff_1228'],['USPTO_diff'],Clc1c2c(nc3ccccc13)CCN(Cc1ccccc1)C2.O>>Clc1c2c(nc3ccccc13)CCNC2.OCc1ccccc1,[]
1432,1432,Cn1c(C2CC2)nc2ccc(-n3ccc(OCc4ccccc4)cc3=O)cc21.[H+].[I-]>>Cn1c(C2CC2)nc2ccc(-n3ccc(O)cc3=O)cc21.ICc1ccccc1,True,Cn1c(C2CC2)nc2ccc(-n3ccc(OCc4ccccc4)cc3=O)cc21>>Cn1c(C2CC2)nc2ccc(-n3ccc(O)cc3=O)cc21,"['C-O Ether break', 'default single bond']",mcs-based,1.0,['USPTO_diff_1229'],['USPTO_diff'],Cn1c(C2CC2)nc2ccc(-n3ccc(OCc4ccccc4)cc3=O)cc21.[H+].[I-]>>Cn1c(C2CC2)nc2ccc(-n3ccc(O)cc3=O)cc21.ICc1ccccc1,[]
1433,1433,CC(=O)Nc1nc(CCc2ccc(CCN)cc2)cs1.C[Si](C)(C)N=C=O.O>>CC(=O)Nc1nc(CCc2ccc(CCNC(N)=O)cc2)cs1.C[Si](C)(C)O,True,CC(=O)Nc1nc(CCc2ccc(CCN)cc2)cs1.C[Si](C)(C)N=C=O>>CC(=O)Nc1nc(CCc2ccc(CCNC(N)=O)cc2)cs1,"['form M-OH', 'default single bond']",mcs-based,0.972000002861023,['USPTO_diff_1230'],['USPTO_diff'],CC(=O)Nc1nc(CCc2ccc(CCN)cc2)cs1.C[Si](C)(C)N=C=O.O>>CC(=O)Nc1nc(CCc2ccc(CCNC(N)=O)cc2)cs1.C[Si](C)(C)O,[]
1434,1434,C[Si](C)(C)C#Cc1cc(OCc2ccccc2)c(OCc2ccccc2)nn1.O>>C#Cc1cc(OCc2ccccc2)c(OCc2ccccc2)nn1.C[Si](C)(C)O,True,C[Si](C)(C)C#Cc1cc(OCc2ccccc2)c(OCc2ccccc2)nn1>>C#Cc1cc(OCc2ccccc2)c(OCc2ccccc2)nn1,"['form M-OH', 'default single bond']",mcs-based,1.0,['USPTO_diff_1231'],['USPTO_diff'],C[Si](C)(C)C#Cc1cc(OCc2ccccc2)c(OCc2ccccc2)nn1.O>>C#Cc1cc(OCc2ccccc2)c(OCc2ccccc2)nn1.C[Si](C)(C)O,[]
1435,1435,C[Si](C)(C)N=[N+]=[N-].N#Cc1ccc2[nH]c3c(c2c1)CCNC31CCN(CCOc2ccccc2)C1.O>>c1ccc(OCCN2CCC3(C2)NCCc2c3[nH]c3ccc(-c4nnn[nH]4)cc23)cc1.C[Si](C)(C)O,True,C[Si](C)(C)N=[N+]=[N-].N#Cc1ccc2[nH]c3c(c2c1)CCNC31CCN(CCOc2ccccc2)C1>>c1ccc(OCCN2CCC3(C2)NCCc2c3[nH]c3ccc(-c4nnn[nH]4)cc23)cc1,"['form M-OH', 'default single bond']",mcs-based,0.9850000143051147,['USPTO_diff_1232'],['USPTO_diff'],C[Si](C)(C)N=[N+]=[N-].N#Cc1ccc2[nH]c3c(c2c1)CCNC31CCN(CCOc2ccccc2)C1.O>>c1ccc(OCCN2CCC3(C2)NCCc2c3[nH]c3ccc(-c4nnn[nH]4)cc23)cc1.C[Si](C)(C)O,[]
1436,1436,COC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1.C[C@@H](O[C@H]1CN(C(=O)OC(C)(C)C)[C@@H](C=O)[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1>>COC(=O)/C=C/[C@H]1[C@H](c2ccc(F)cc2)[C@@H](O[C@H](C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CN1C(=O)OC(C)(C)C.O=P(c1ccccc1)(c1ccccc1)c1ccccc1,True,COC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1.C[C@@H](O[C@H]1CN(C(=O)OC(C)(C)C)[C@@H](C=O)[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1>>COC(=O)/C=C/[C@H]1[C@H](c2ccc(F)cc2)[C@@H](O[C@H](C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CN1C(=O)OC(C)(C)C,['phosphor double bond'],mcs-based,0.9940000176429749,['USPTO_diff_1233'],['USPTO_diff'],COC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1.C[C@@H](O[C@H]1CN(C(=O)OC(C)(C)C)[C@@H](C=O)[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1>>COC(=O)/C=C/[C@H]1[C@H](c2ccc(F)cc2)[C@@H](O[C@H](C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CN1C(=O)OC(C)(C)C.O=P(c1ccccc1)(c1ccccc1)c1ccccc1,[]
1437,1437,COC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1.N#CCCC(CC=O)(c1ccccc1)c1ccccc1>>COC(=O)C=CCC(CCC#N)(c1ccccc1)c1ccccc1.O=P(c1ccccc1)(c1ccccc1)c1ccccc1,True,COC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1.N#CCCC(CC=O)(c1ccccc1)c1ccccc1>>COC(=O)C=CCC(CCC#N)(c1ccccc1)c1ccccc1,['phosphor double bond'],mcs-based,0.9769999980926514,['USPTO_diff_1234'],['USPTO_diff'],COC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1.N#CCCC(CC=O)(c1ccccc1)c1ccccc1>>COC(=O)C=CCC(CCC#N)(c1ccccc1)c1ccccc1.O=P(c1ccccc1)(c1ccccc1)c1ccccc1,[]
1438,1438,COC(=O)Cc1ccc(C=O)cc1.N#CC=P(c1ccccc1)(c1ccccc1)c1ccccc1>>COC(=O)Cc1ccc(C=CC#N)cc1.O=P(c1ccccc1)(c1ccccc1)c1ccccc1,True,COC(=O)Cc1ccc(C=O)cc1.N#CC=P(c1ccccc1)(c1ccccc1)c1ccccc1>>COC(=O)Cc1ccc(C=CC#N)cc1,['phosphor double bond'],mcs-based,0.9990000128746032,['USPTO_diff_1235'],['USPTO_diff'],COC(=O)Cc1ccc(C=O)cc1.N#CC=P(c1ccccc1)(c1ccccc1)c1ccccc1>>COC(=O)Cc1ccc(C=CC#N)cc1.O=P(c1ccccc1)(c1ccccc1)c1ccccc1,[]
1439,1439,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=Cc1c[nH]cn1>>CC(C)(C)OC(=O)n1cnc(C=O)c1.CC(C)(C)OC(=O)O,True,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=Cc1c[nH]cn1>>CC(C)(C)OC(=O)n1cnc(C=O)c1,[],mcs-based,0.9940000176429749,['USPTO_diff_1236'],['USPTO_diff'],CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=Cc1c[nH]cn1>>CC(C)(C)OC(=O)n1cnc(C=O)c1.CC(C)(C)OC(=O)O,[]
1440,1440,Brc1c[nH]c2cnccc12.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)n1cc(Br)c2ccncc21.CC(C)(C)OC(=O)O,True,Brc1c[nH]c2cnccc12.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)n1cc(Br)c2ccncc21,[],mcs-based,0.9990000128746032,['USPTO_diff_1237'],['USPTO_diff'],Brc1c[nH]c2cnccc12.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)n1cc(Br)c2ccncc21.CC(C)(C)OC(=O)O,[]
1441,1441,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.N[C@@H]1CCc2c(Br)cccc21>>CC(C)(C)OC(=O)N[C@@H]1CCc2c(Br)cccc21.CC(C)(C)OC(=O)O,True,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.N[C@@H]1CCc2c(Br)cccc21>>CC(C)(C)OC(=O)N[C@@H]1CCc2c(Br)cccc21,[],mcs-based,0.9990000128746032,['USPTO_diff_1238'],['USPTO_diff'],CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.N[C@@H]1CCc2c(Br)cccc21>>CC(C)(C)OC(=O)N[C@@H]1CCc2c(Br)cccc21.CC(C)(C)OC(=O)O,[]
1442,1442,CCOC(=O)c1cnc(N)c2c(COc3cccc(CNc4ccccc4)c3)csc12.NCCO>>Nc1ncc(C(=O)NCCO)c2scc(COc3cccc(CNc4ccccc4)c3)c12.CCO,True,CCOC(=O)c1cnc(N)c2c(COc3cccc(CNc4ccccc4)c3)csc12.NCCO>>Nc1ncc(C(=O)NCCO)c2scc(COc3cccc(CNc4ccccc4)c3)c12,[],mcs-based,0.9990000128746032,['USPTO_diff_1239'],['USPTO_diff'],CCOC(=O)c1cnc(N)c2c(COc3cccc(CNc4ccccc4)c3)csc12.NCCO>>Nc1ncc(C(=O)NCCO)c2scc(COc3cccc(CNc4ccccc4)c3)c12.CCO,[]
1443,1443,CC(C)(C)OC(=O)CN.CCOC(=O)C1=C(O)c2ccccc2C2(CCOCC2)C1=O>>CC(C)(C)OC(=O)CNC(=O)C1=C(O)c2ccccc2C2(CCOCC2)C1=O.CCO,True,CC(C)(C)OC(=O)CN.CCOC(=O)C1=C(O)c2ccccc2C2(CCOCC2)C1=O>>CC(C)(C)OC(=O)CNC(=O)C1=C(O)c2ccccc2C2(CCOCC2)C1=O,[],mcs-based,0.9990000128746032,['USPTO_diff_1240'],['USPTO_diff'],CC(C)(C)OC(=O)CN.CCOC(=O)C1=C(O)c2ccccc2C2(CCOCC2)C1=O>>CC(C)(C)OC(=O)CNC(=O)C1=C(O)c2ccccc2C2(CCOCC2)C1=O.CCO,[]
1444,1444,CCOC(=O)c1c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)cn1C(C)C.Cc1ccnc(N)n1>>Cc1ccnc(NC(=O)c2c(-c3ccc(F)cc3)c(-c3ccc(F)cc3)cn2C(C)C)n1.CCO,True,CCOC(=O)c1c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)cn1C(C)C.Cc1ccnc(N)n1>>Cc1ccnc(NC(=O)c2c(-c3ccc(F)cc3)c(-c3ccc(F)cc3)cn2C(C)C)n1,[],mcs-based,1.0,['USPTO_diff_1241'],['USPTO_diff'],CCOC(=O)c1c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)cn1C(C)C.Cc1ccnc(N)n1>>Cc1ccnc(NC(=O)c2c(-c3ccc(F)cc3)c(-c3ccc(F)cc3)cn2C(C)C)n1.CCO,[]
1445,1445,Cc1oc(=O)oc1C.O=C1CCC(=O)N1Br>>Cc1oc(=O)oc1CBr.O=C1CCC(=O)N1,True,Cc1oc(=O)oc1C.O=C1CCC(=O)N1Br>>Cc1oc(=O)oc1CBr,[],mcs-based,0.9980000257492064,"['USPTO_diff_1243', 'USPTO_unbalance_class_126']","['USPTO_unbalance_class', 'USPTO_diff']",Cc1oc(=O)oc1C.O=C1CCC(=O)N1Br>>Cc1oc(=O)oc1CBr.O=C1CCC(=O)N1,[]
1446,1446,CCc1ccc(-c2nc3ccccc3o2)c(F)c1.O=C1CCC(=O)N1Br>>CC(Br)c1ccc(-c2nc3ccccc3o2)c(F)c1.O=C1CCC(=O)N1,True,CCc1ccc(-c2nc3ccccc3o2)c(F)c1.O=C1CCC(=O)N1Br>>CC(Br)c1ccc(-c2nc3ccccc3o2)c(F)c1,[],mcs-based,0.9990000128746032,['USPTO_diff_1244'],['USPTO_diff'],CCc1ccc(-c2nc3ccccc3o2)c(F)c1.O=C1CCC(=O)N1Br>>CC(Br)c1ccc(-c2nc3ccccc3o2)c(F)c1.O=C1CCC(=O)N1,[]
1447,1447,CC(C)[Si](OC1CCC(OS(=O)(=O)C(F)(F)F)=Cc2cccnc21)(C(C)C)C(C)C.OB(O)c1ccc(F)c(F)c1>>CC(C)[Si](OC1CCC(c2ccc(F)c(F)c2)=Cc2cccnc21)(C(C)C)C(C)C.O=S(=O)(OB(O)O)C(F)(F)F,True,CC(C)[Si](OC1CCC(OS(=O)(=O)C(F)(F)F)=Cc2cccnc21)(C(C)C)C(C)C.OB(O)c1ccc(F)c(F)c1>>CC(C)[Si](OC1CCC(c2ccc(F)c(F)c2)=Cc2cccnc21)(C(C)C)C(C)C,['default single bond'],mcs-based,0.9990000128746032,['USPTO_diff_1245'],['USPTO_diff'],CC(C)[Si](OC1CCC(OS(=O)(=O)C(F)(F)F)=Cc2cccnc21)(C(C)C)C(C)C.OB(O)c1ccc(F)c(F)c1>>CC(C)[Si](OC1CCC(c2ccc(F)c(F)c2)=Cc2cccnc21)(C(C)C)C(C)C.O=S(=O)(OB(O)O)C(F)(F)F,[]
1448,1448,COC(=O)Cc1ccc(OS(=O)(=O)C(F)(F)F)c(Cl)c1.COc1ccc(B(O)O)cc1>>COC(=O)Cc1ccc(-c2ccc(OC)cc2)c(Cl)c1.O=S(=O)(OB(O)O)C(F)(F)F,True,COC(=O)Cc1ccc(OS(=O)(=O)C(F)(F)F)c(Cl)c1.COc1ccc(B(O)O)cc1>>COC(=O)Cc1ccc(-c2ccc(OC)cc2)c(Cl)c1,['default single bond'],mcs-based,0.9409999847412108,['USPTO_diff_1246'],['USPTO_diff'],COC(=O)Cc1ccc(OS(=O)(=O)C(F)(F)F)c(Cl)c1.COc1ccc(B(O)O)cc1>>COC(=O)Cc1ccc(-c2ccc(OC)cc2)c(Cl)c1.O=S(=O)(OB(O)O)C(F)(F)F,[]
1449,1449,COc1c(C)cnc(Cn2nc3cc(OS(=O)(=O)C(F)(F)F)c4c-3c(n2)C(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)=NSC4)c1C.OB(O)c1cncnc1>>COc1c(C)cnc(Cn2nc3cc(-c4cncnc4)c4c-3c(n2)C(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)=NSC4)c1C.O=S(=O)(OB(O)O)C(F)(F)F,True,COc1c(C)cnc(Cn2nc3cc(OS(=O)(=O)C(F)(F)F)c4c-3c(n2)C(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)=NSC4)c1C.OB(O)c1cncnc1>>COc1c(C)cnc(Cn2nc3cc(-c4cncnc4)c4c-3c(n2)C(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)=NSC4)c1C,['default single bond'],mcs-based,0.9990000128746032,['USPTO_diff_1247'],['USPTO_diff'],COc1c(C)cnc(Cn2nc3cc(OS(=O)(=O)C(F)(F)F)c4c-3c(n2)C(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)=NSC4)c1C.OB(O)c1cncnc1>>COc1c(C)cnc(Cn2nc3cc(-c4cncnc4)c4c-3c(n2)C(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)=NSC4)c1C.O=S(=O)(OB(O)O)C(F)(F)F,[]
1450,1450,NCC1CCCCN1.O=C(OCC(F)(F)F)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F>>O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F.OCC(F)(F)F,True,NCC1CCCCN1.O=C(OCC(F)(F)F)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F>>O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,[],mcs-based,0.975000023841858,['USPTO_diff_1248'],['USPTO_diff'],NCC1CCCCN1.O=C(OCC(F)(F)F)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F>>O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F.OCC(F)(F)F,[]
1451,1451,C=CC[C@@H](OC(=O)CCC[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](C)CC=C)[C@@H](C)COS(=O)(=O)c1ccc(C)cc1.[O]>>Cc1ccc(S(=O)(=O)OCC(C)[C@H]2CC=CC[C@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)CCCC(=O)O2)cc1.C=CO,True,C=CC[C@@H](OC(=O)CCC[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](C)CC=C)[C@@H](C)COS(=O)(=O)c1ccc(C)cc1>>Cc1ccc(S(=O)(=O)OCC(C)[C@H]2CC=CC[C@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)CCCC(=O)O2)cc1,"['append O to C-C bond', 'default single bond']",mcs-based,0.9879999756813048,['USPTO_diff_1249'],['USPTO_diff'],C=CC[C@@H](OC(=O)CCC[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](C)CC=C)[C@@H](C)COS(=O)(=O)c1ccc(C)cc1.[O]>>Cc1ccc(S(=O)(=O)OCC(C)[C@H]2CC=CC[C@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)CCCC(=O)O2)cc1.C=CO,[]
1452,1452,CCOC(=O)C(Cc1ccc(OCCNC(=O)c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)cc1)Oc1ccccc1.O>>O=C(NCCOc1ccc(CC(Oc2ccccc2)C(=O)O)cc1)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1.CCO,True,CCOC(=O)C(Cc1ccc(OCCNC(=O)c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)cc1)Oc1ccccc1>>O=C(NCCOc1ccc(CC(Oc2ccccc2)C(=O)O)cc1)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1,"['C-O Ester break', 'default single bond']",mcs-based,1.0,['USPTO_diff_1250'],['USPTO_diff'],CCOC(=O)C(Cc1ccc(OCCNC(=O)c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)cc1)Oc1ccccc1.O>>O=C(NCCOc1ccc(CC(Oc2ccccc2)C(=O)O)cc1)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1.CCO,[]
